Instances,CCASat,clasp,lingeling,glucose,sinn
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/sgen/sat/sgen1-sat-140-100.cnf.gz,2.63706,24.8262,330.628,773.605,307.776
Crafted/12/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.107.opt.cnf.gz,314.427,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Hard/contest02/ezfact64_4.sat05-451.reshuffled-07.cnf.gz,900,900,45.4191,900,900
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/rbsat/random/forced/rbsat-v760c43649gyes3.cnf.gz,4.52981,5.42676,37.6543,18.6282,21.8397
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/rbsat/random/forced/rbsat-v945c61409gyes3.cnf.gz,110.73,80.4356,571.15,437.242,900
Crafted/12/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.89.opt.cnf.gz,507.99,900,900,900,900
Crafted/11/09/rbsat/random/unforced/rbsat-v2400c266431g3.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf.gz,900,900,900,900,900
Crafted/11/09/rbsat/random/forced/rbsat-v2400c266431gyes6.cnf.gz,900,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/pmg-12-UNSAT.sat05-3940.reshuffled-07.cnf.mis-126.debugged.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satcomp11-main-track-unselected/SAT11/crafted/skvortsov/battleship/battleship-24-46-sat.cnf.gz,0.228581,900,900,900,900
Crafted/09/CRAFTED/SAT07/crafted/Hard/contest04/others/equilarge_l3.sat05-520.reshuffled-07.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satrace-unselected/repeat/prime2209/prime2209-82.cnf.gz,900,1.527,7.20092,1.85883,1.11076
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/spence/sgen/sgen3-n180-s34713902-sat.cnf.gz,240.265,135.861,764.002,900,900
Crafted/11/11/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-6_2072.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/parity-games/instance_n5_i6_pp.cnf.gz,900,14.8587,4.46283,0.619371,4.98372
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/modcircuits/owp_4vars_5gates.cnf.gz,900,0.092094,0.208081,0.289731,0.124766
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-24_567.cnf.gz,217.268,900,900,900,900
Crafted/11/11/mosoi/289/289-sat-14x8.cnf.gz,0.041726,0.13606,0.108438,0.165936,0.100135
Crafted/12/SATCompetition2007/crafted/Medium/contest05/others/QG7a-gensys-brn100.sat05-3765.reshuffled-07.cnf.gz,0.585913,1.01599,2.29698,12.4339,1.27783
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/skvortsov/battleship/battleship-14-27-sat.cnf.gz,0.0195309,900,42.3557,1.42305,74.8885
Crafted/12/SATChallenge2012_crafted_debugged/dubois50.cnf.mis-99.debugged.cnf.gz,900,900,900,900,900
Crafted/12/Submissions/Combinatorial/sgen4-sat2012-unsat/sgen4-unsat-77-1.cnf.gz,900,40.3493,50.3011,142.316,246.88
Crafted/09/CRAFTED/SAT07/crafted/Difficult/contest05/sabharwal/counting-harder-php-014-013.sat05-1187.reshuffled-07.cnf.gz,900,900,900,900,900
Crafted/11/04/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT02/handmade/zhang-lintao/xor-chain/x1_40.shuffled.cnf.gz,900,110.327,0.0152019,109.979,13.3076
Crafted/11/11/mosoi/289/289-unsat-14x38.cnf.gz,900,900,900,900,900
Crafted/11/05/sabharwal05/counting/fphp/unsat/harder/fphp-020-019.shuffled-as.sat05-1232.cnf.gz,900,900,900,900,900
Crafted/11/11/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/spence/medium/s93-100.cnf.gz,900,578.496,900,900,900
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1150c84314gyes5.cnf.gz,61.9621,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g9.cnf.gz,7.37846,31.1354,11.3132,99.5042,456.525
Crafted/12/SATCompetition2007/crafted/Medium/contest05/others/QG-gensys-icl003.sat05-2715.reshuffled-07.cnf.gz,900,52.6093,29.2953,18.8622,21.1266
Crafted/12/SATChallenge2012_crafted_debugged/par32-2.debugged.cnf.gz,0.081108,0.030031,0.161388,0.071679,0.025293
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/skvortsov/battleship/battleship-13-13-unsat.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/sgen/sat/sgen1-sat-200-100.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-3.sat05-2265.reshuffled-07.cnf.gz,900,435.73,0.108561,900,900
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/sgen/unsat/sgen1-unsat-61-100.cnf.gz,900,1.65323,2.65933,0.968672,9.09784
Crafted/12/sc2012HardCombinatorial/satrace-unselected/repeat/prime2209/prime2209-91.cnf.gz,900,1.79385,9.69092,2.07736,1.22104
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf.gz,900,2.78202,13.5783,13.3491,23.9627
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g10.cnf.gz,23.0416,108.56,212.179,137.38,300.628
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/edgematching/compact/em_7_4_9_cmp.cnf.gz,900,101.272,79.962,4.66414,117.8
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/sgi/satsgi-n22himBHm24-p0-q195.cnf.gz,0.0464539,0.036067,0.101194,0.204282,0.0186901
Crafted/12/SATCompetition2011/crafted/SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf.gz,900,12.5928,0.019163,24.4022,14.6999
Crafted/12/SATChallenge2012_crafted_debugged/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf.mis-97.debugged.cnf.gz,900,900,900,900,900
Crafted/11/11/spence/sgen/sgen3-n120-s55656844-unsat.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satrace-unselected/repeat/prime2209/prime2209-67.cnf.gz,900,1.24734,6.60872,1.51058,0.888712
