,Instances,CCASat,clasp,lingeling,glucose,sinn,Ave
680,new-difficult-22-173-20-80.cnf.gz,2.0124299999999997,14.5158,33.2762,30.5946,5.42535,17.164876
684,iso-ukn009.shuffled-as.sat05-3632.cnf.gz,0.563213,0.042664,0.091946,0.158651,0.06448200000000001,0.1841912
705,sgi-difficult7.cnf.gz,0.058357000000000006,0.0910581,0.178845,0.128115,0.0431021,0.09989544
720,VanDerWaerden_pd_2-3-19_346.cnf.gz,1.9956,10.6591,126.986,47.0256,129.828,63.298860000000005
731,Q32inK08.cnf.gz,0.087483,1.23472,0.5136930000000001,0.193975,0.631074,0.532189
755,battleship-9-17-sat.cnf.gz,0.011128,130.41,0.125433,46.8378,0.015774,35.480027
764,satsgi-n17himBHm20-p0-q146.cnf.gz,0.024013,0.029071100000000002,0.0726561,0.0439151,0.021903,0.038311660000000004
766,rbsat-v760c43649gyes10.cnf.gz,4.5157,6.839760000000001,33.3161,8.54884,36.2273,17.88954
776,289-sat-4x35.cnf.gz,0.0504901,0.196599,0.147891,0.205909,0.111969,0.14257162
783,satsgi-n21himBHm24-p0-q201.cnf.gz,0.031861,0.0336419,0.10385699999999999,0.0682091,0.018537,0.0512212
787,par32-2-c.debugged.cnf.gz,0.044943000000000004,0.016541,0.113449,0.045465,0.022017,0.048483000000000005
795,289-sat-4x8.cnf.gz,0.0161571,0.0139579,0.0242549,0.0290949,0.010702,0.01883336
799,rbsat-v760c43649gyes8.cnf.gz,8.90483,0.7571359999999999,71.6411,42.3842,47.0547,34.1483932
800,satsgi-n18himBHm21-p0-q167.cnf.gz,0.0254489,0.034966000000000004,0.07602010000000001,0.045023900000000006,0.0135429,0.039000360000000005
808,VanDerWaerden_pd_2-3-18_311.cnf.gz,0.698619,3.0663099999999996,8.2034,0.703994,8.24997,4.1844586
814,new-difficult-20-152-18-95.cnf.gz,0.102474,30.7834,139.14700000000002,134.36700000000002,88.2769,78.53535480000002
815,satsgi-n28himBHm30-p0-q333.cnf.gz,0.0476351,0.062339,0.12799000000000002,0.11666099999999999,0.034337099999999995,0.07779244
819,battleship-10-18-sat.cnf.gz,0.0163241,45.5447,0.0407579,0.0454369,0.011041,9.13165198
823,rbsat-v760c43649g8.cnf.gz,16.389,17.13,120.03399999999999,0.517678,104.655,51.745135600000005
837,satsgi-n23himBHm26-p0-q257.cnf.gz,0.0372279,0.0411759,0.11408199999999999,0.07768,0.021577900000000004,0.058348739999999996
843,satsgi-n22himBHm26-p0-q256.cnf.gz,0.036451,0.038482,0.106234,0.06981389999999998,0.0211621,0.054428599999999994
847,289-sat-12x14.cnf.gz,0.08042,0.43092299999999994,0.258668,0.381798,0.269392,0.28424020000000005
155,rbcl_xits_15_SAT.cnf.gz,0.46459399999999995,15.5058,0.816221,1.23517,1.21262,3.8468810000000007
178,rovers1_ks99i.renamed-as.sat05-3971.cnf.gz,0.0455351,0.034581,0.0625811,0.0528021,0.016471,0.04239406
201,vmpc_24.cnf.gz,87.7901,24.0074,28.4943,1.13911,13.6543,31.017041999999996
208,grieu-vmpc-27.cnf.gz,102.395,112.82799999999999,58.5672,134.287,44.4628,90.508
259,smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.gz,164.81900000000002,1.21753,4.37142,26.025,1.4663,39.57985000000001
378,rbcl_xits_18_SAT.cnf.gz,0.5509890000000001,4.27733,0.951852,1.63446,1.62334,1.8075942
400,traffic_r_sat.cnf.gz,366.31300000000005,26.9468,19.8929,19.2123,13.1598,89.10496
413,bart17.shuffled.cnf.gz,0.038882099999999996,484.13699999999994,0.0226429,0.055216999999999995,0.0125451,96.85325742
421,AProVE09-13.cnf.gz,3.5398400000000003,0.11951800000000001,0.687487,0.6854979999999999,0.0990901,1.02628662
446,vda_gr_rcs_w9.shuffled.cnf.gz,0.425224,0.817245,0.507722,0.817092,0.590241,0.6315048000000001
463,driverlog3_v01a.renamed-as.sat05-3963.cnf.gz,0.0168899,0.0501719,0.0211241,0.0286371,0.0105969,0.02548398
518,rpoc_xits_17_SAT.cnf.gz,0.469021,24.2677,0.973951,2.08725,1.5335,5.8662844000000005
565,abb313GPIA-9-tr.used-as.sat04-321.cnf.gz,1.64683,77.1238,2.57923,3.45344,1.96492,17.353644
602,ferry5_ks99i.renamed-as.sat05-3994.cnf.gz,0.227198,0.059614,0.305163,0.088823,0.026829000000000002,0.1415254
642,driverlog1_ks99i.renamed-as.sat05-3951.cnf.gz,0.01609,0.0111749,0.0242561,0.028584,0.00844098,0.017709196
