Instances,smodels/default-n1,claspInternal/crafted-n1,cmodels/default-n1
ASPExtended/planning/comm/p05.lp-34-3915.sm.gz,900,546.028,900
ASPExtended/ASP-Comp-2009-Lparse/CompSchurNumbers/15.20.schur.lp.gz,900,108.056,35.5284
ASPExtended/RicochetRobots/rr12-11.sm.gz,900,900,457.85
ASPExtended/HamiltonianCycle/rand_200_1800_1154991214_18.gph.lp.gz,900,0.0783381,18.8928
ASPExtended/hardwareASP/hard_inst_8_8_17290.gr.gz,900,900,41.006
ASPExtended/SocialGolfer/csp010-SocialGolfer_w6_g6_s3.dlv.dat.lp.lp.gz,0.203566,0.0628469,0.306367
ASPExtended/ASP-Comp-2009-Lparse/CompMazeGeneration/maze-generation-width=21-height=21-density=0.01-run=1.gz,0.169234,0.136633,0.0844289
ASPExtended/laby/laby_13_13_12.lp.gz,9.27505,3.37756,8.40447
ASPExtended/SocialGolfer/csp010-SocialGolfer_w8_g2_s5.dlv.dat.lp.lp.gz,0.0666369,0.0155559,0.060454
ASPExtended/ASP-Comp-2009-Lparse/CompWeightBoundedDominatingSet/rand_150_600_1159731678_6.lp.gz,900,84.2714,14.2486
ASPExtended/coala/yale_shooting/coala_y11_32.lparse.gz,900,179.788,900
ASPExtended/SocialGolfer/csp010-SocialGolfer_w5_g6_s3.dlv.dat.lp.lp.gz,0.124731,0.052658,0.257238
ASPExtended/WeightBoundedDominatingSetSuite/rand_200_800_1159728969_6.gph.lp.gz,900,0.140725,86.6413
ASPExtended/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=10-height=10-colours=11.gz,144.683,0.298904,117.478
ASPExtended/ggp/hanoi7.gdlclingo.pl.gr.gz,5.50239,4.7396,5.05916
ASPExtended/ASP-Comp-2011-Lparse/10-SokobanDecision/4-sokoban_decision-0-0.asp.gz,217.286,3.24739,9.1089
ASPExtended/planning/dispose/p02_10.lp-21-587.sm.gz,900,513.837,184.844
ASPExtended/HamiltonClumpy/18/clumpy-18x18_04.sm.gz,900,0.181974,2.04944
ASPExtended/WeightBoundedDominatingSetSuite/rand_100_400_1159666138_7.gph.lp.gz,9.69226,0.079421,0.154526
ASPExtended/WeightBoundedDominatingSetSuite/rand_100_400_1159666138_13.gph.lp.gz,900,0.086839,5.11507
ASPExtended/HamiltonianCycle/rand_150_1200_1154711577_6.gph.lp.gz,1.38801,0.063327,0.663032
ASPExtended/SolitaireBackward/solitare_backward_t8_p9.lp.lp.gz,683.185,0.0485981,0.583416
ASPExtended/ASP-Comp-2009-Lparse/CompLabyrinth/laby_18_18_14.lp.gz,900,1.83571,7.73869
ASPExtended/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=10-height=10-colours=10.gz,140.526,0.301247,144.388
ASPExtended/RicochetRobots/rr13-08.sm.gz,900,900,491.525
ASPExtended/laby/laby_22_22_18.lp.gz,900,51.9299,91.5636
ASPExtended/SocialGolfer/csp010-SocialGolfer_w4_g3_s2.dlv.dat.lp.lp.gz,0.00679391,0.136532,0.021077
ASPExtended/Su-Doku/puzzle-guessingneeded.lp.lp.gz,0.0516919,0.029541,0.104559
ASPExtended/benchmarks/qeq.12.lp.gz,244.337,23.5804,94.8678
ASPExtended/hardwareASP/hard_inst_8_12_29466.gr.gz,900,900,56.1835
ASPExtended/SocialGolfer/csp010-SocialGolfer_w7_g4_s5.dlv.dat.lp.lp.gz,900,900,240.525
ASPExtended/Sokoban-Hard/handmade_soko008.lp-30-5732.sm.gz,900,900,900
ASPExtended/ASP-Comp-2007-Lparse/SLparse/Su-Doku/sudoku368.lp.gz,3.81807,2.27569,6.87689
ASPExtended/ASP-Comp-2009-Lparse/CompWeightBoundedDominatingSet/rand_200_800_1159728969_4.lp.gz,900,3.73066,0.922425
ASPExtended/planning/comm/p16.lp-42-1919.sm.gz,900,900,900
ASPExtended/laby/laby_19_19_05.lp.gz,900,900,900
ASPExtended/hardwareASP/hard_inst_10_5_23026.gr.gz,900,900,50.7474
ASPExtended/searchTest-verbose/stv_sequence4-ss2.lp.gz,17.6096,4.16511,107.131
ASPExtended/SolitaireForward/solitare_forward_t24.lp.lp.gz,4.41621,0.153785,0.80244
ASPExtended/Sokoban-Hard/handmade_soko013.lp-33-431.sm.gz,900,169.646,900
ASPExtended/hardwareASP/hard_inst_5_11_21509.gr.gz,900,900,9.33335
ASPExtended/ASP-Comp-2007-Lparse/SLparse/WeightedSpanningTree/205_rand_32_140_1344639651_0.gph.gz,39.1443,0.332715,1.37087
ASPExtended/ASP-Comp-2007-Lparse/SLparse/TowersOfHanoiCompetition/mgs_towers-hanoi.41_7.gz,900,129.09,2.74543
ASPExtended/hardwareASP/hard_inst_7_8_23798.gr.gz,900,900,21.614
ASPExtended/planning/dispose/p04_03.lp-15-516.sm.gz,900,60.3305,6.21827
ASPExtended/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/penrose.12.asp.gz,0.0715901,0.0478839,0.527101
ASPExtended/planning/dispose/p02_10.lp-24-20100.sm.gz,900,900,900
ASPExtended/Sokoban-Hard/handmade_soko029.lp-31-3181.sm.gz,900,900,900
ASPExtended/ASP-Comp-2009-Lparse/CompWireRouting/wire.17.x.17.b.10.a.25_unsat.data.gz,900,30.5634,1.0317
ASPExtended/planning/dispose/p04_04.lp-17-3609.sm.gz,900,836.997,773.261
ASPExtended/SocialGolfer/csp010-SocialGolfer_w2_g5_s5.dlv.dat.lp.lp.gz,0.054251,0.0368,0.150886
ASPExtended/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=10-height=10-colours=13.gz,141.895,0.3977,118.583
ASPExtended/ASP-Comp-2009-Lparse/CompHanoi/mgs_towers-hanoi.70_7.gz,900,3.87858,2.45492
ASPExtended/SocialGolfer/csp010-SocialGolfer_w3_g3_s2.dlv.dat.lp.lp.gz,0.055769,0.0068121,0.024032
ASPExtended/planning/dispose/p04_10.lp-19-20100.sm.gz,900,900,349.263
ASPExtended/Sokoban-Hard/handmade_soko025.lp-19-2197.sm.gz,900,456.489,900
ASPExtended/RicochetRobots/rr05-10.sm.gz,900,900,900
ASPExtended/TowersOfHanoiCompetition/mgs_towers-hanoi.32_6.lp.gz,9.7555,2.61391,3.9105
ASPExtended/laby/laby_18_18_01.lp.gz,900,900,900
ASPExtended/planning/dispose/p04_08.lp-16-919.sm.gz,900,18.8827,12.5516
ASPExtended/planning/dispose/p02_05.lp-16-274.sm.gz,900,77.1255,1.82012
ASPExtended/laby/laby_11_11_04.lp.gz,900,9.02399,152.601
ASPExtended/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_65_500_1235857888_0_k=6_sat.gph.gz,6.49908,1.92096,7.37145
ASPExtended/HamiltonClumpy/18/clumpy-18x18_01.sm.gz,1.71087,0.061301,1.54227
ASPExtended/hardwareASP/hard_inst_6_10_8207.gr.gz,900,900,14.328
ASPExtended/HamiltonClumpy/21/clumpy-21x21_07.sm.gz,900,28.3699,1.39152
ASPExtended/planning/comm/p10.lp-32-953.sm.gz,900,133.984,900
ASPExtended/Sokoban-Hard/handmade_soko035.lp-23-832.sm.gz,900,195.746,900
ASPExtended/laby/laby_10_10_01.lp.gz,900,3.24476,14.092
ASPExtended/Fastfood/a4.7.10.sm.gz,0.136992,0.0135271,0.071706
ASPExtended/HamiltonianCycle/rand_100_800_1155012316_11.gph.lp.gz,900,0.0303809,0.471041
ASPExtended/Sokoban-Hard/handmade_soko033.lp-16-10568.sm.gz,900,900,900
ASPExtended/ggp/blocksworldserial.gdlclingo.pl.gr.gz,0.023593,0.060649,0.0409511
ASPExtended/ASP-Comp-2009-Lparse/CompWireRouting/wire.13.x.13.b.7.a.30_sat.data.gz,900,6.2288,11.1519
ASPExtended/hardwareASP/hard_inst_12_12_23931.gr.gz,900,900,28.4575
ASPExtended/planning/comm/p11.lp-34-983.sm.gz,900,432.801,900
ASPExtended/planning/dispose/p03_08.lp-19-20100.sm.gz,900,900,49.1161
ASPExtended/planning/dispose/p03_08.lp-16-754.sm.gz,900,432.071,53.9742
ASPExtended/planning/dispose/p04_07.lp-18-3588.sm.gz,900,270.574,144.56
